Window_Index,|Window|,DS,US
0,0,1993862,NA
1,5000,1988862,1993862
2,10000,1983862,1988862
3,15000,1978862,1983862
4,20000,1973862,1978862
5,25000,1968862,1973862
6,30000,1963862,1968862
7,35000,1958862,1963862
8,40000,1953862,1958862
9,45000,1948862,1953862
10,50000,1943862,1948862
11,0,1995229,NA
12,5000,1995229,2000229
13,10000,2000229,2005229
14,15000,2005229,2010229
15,20000,2010229,2015229
16,25000,2015229,2020229
17,30000,2020229,2026000
18,35000,2026001,2030229
19,40000,2030229,2035229
20,45000,2035229,2040229
21,50000,2040229,2045229